,video_id,title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,likes,dislikes,comments
2849,VE01Sl2Z3Kg,21 UNBELIEVABLE DIY BEAUTY TRICKS THAT REALLY WORK,1095,1260,2727762,50,8,0,7,0,1,6.25,1,1,-0.0249999999999999,23130,2575,1417
2850,QIMLI2zOLeo,23 HILARIOUS STORIES EVERY GIRL CAN RELATE TO,1095,596,3337156,45,8,0,7,0,2,5.625,1,1,0.5,33639,2790,2635
2851,UqfPLArt99Y,37 EXERCISES FOR A PERFECTLY TONED BODY YOU CAN DO AT HOME,1095,900,383425,58,12,0,11,0,6,4.833333333333333,1,1,1.0,7137,344,248
2852,OE2pTviBLTg,25 STUDY HACKS THAT SEEM CRAZY UNTIL YOU ACTUALLY TRY THEM,1095,1020,1472042,58,11,0,10,0,4,5.2727272727272725,1,1,-0.3,16189,1579,1033
2853,5QrrDAbxBeY,17 HILARIOUS CRAFTS AND PRANKS,1095,628,69885918,30,5,0,4,0,1,6.0,1,1,0.5,309433,61098,8301
2854,ck92pZU-7Pg,100 BEST HACKS AND CRAFTS FOR YOUR APARTMENT,1095,3480,542286,44,8,0,7,0,3,5.5,1,1,1.0,9446,827,855
2855,oS2PrQtS27U,20 FOOD TRICKS THAT WILL SPEED UP YOUR COOKING,1095,797,57977569,46,9,0,8,0,4,5.111111111111111,1,1,0.0,312517,56345,14097
2856,D9lxo-kP1OA,30 FOOD HACKS YOU MUST KNOW,1095,1200,143276,27,6,0,5,0,1,4.5,1,1,0.0,3630,213,137
2857,Q6VAeNXJgRU,20 AWESOME LIFE HACKS THAT WILL SIMPLIFY YOUR LIFE,1095,1080,513552,50,9,0,8,0,3,5.555555555555555,1,1,1.0,3915,574,326
2858,He-Rn-JKOmY,26 COOL DIY SOAP IDEAS,1095,799,11832383,22,5,0,4,0,0,4.4,1,1,0.35,79288,10866,3049
2859,g48qX0UF5QI,22 TOP-SECRET SPY HACKS,1095,672,9027808,23,4,1,3,0,0,5.75,1,1,0.0,75100,7759,2818
2860,widsSmKCDdo,22 INGENIOUS HACKS THAT WILL MAKE YOU SAY “WOW!“,1095,900,499682,48,9,1,8,0,3,5.333333333333333,1,1,0.3125,5892,744,674
2861,kcFVHJZQCkA,26 FANTASTIC HACKS WITH COCA COLA,1095,731,744836,33,6,0,5,0,1,5.5,1,1,0.4,7638,889,729
2862,1wXck8i748I,18 HOMEMADE BEAUTY RECIPES THAT WORK MAGIC,1095,1140,427262,42,7,0,6,0,1,6.0,1,1,0.5,9043,712,536
2863,xsrkR2kPLZY,21 AMAZING TABLEWARE HACKS AND IDEAS,1095,827,1841878,36,6,0,5,0,1,6.0,1,1,0.6000000000000001,15796,1586,651
2864,MBgyP97mih0,20 COOKING TRICKS THAT ARE SO EASY,1095,1020,383525,34,7,0,6,0,3,4.857142857142857,1,1,0.4333333333333333,7275,466,472
